"","Team","Year","ELO"
"1","Bulls",1985,1446.408375
"2","Bulls",1986,1420.01386666667
"3","Bulls",1987,1536.85496666667
"4","Bulls",1988,1610.25065
"5","Bulls",1989,1569.38705294118
"6","Bulls",1990,1630.9212375
"7","Bulls",1991,1731.86725882353
"8","Bulls",1992,1753.19102272727
"9","Bulls",1993,1719.69906842105
"10","Bulls",1995,1636.49919
"11","Bulls",1996,1813.11886666667
"12","Bulls",1997,1785.34594736842
"13","Bulls",1998,1755.16610952381
"14","Bucks",1985,1696.9538
"15","Celtics",1986,1771.49896666667
"16","Celtics",1987,1678.2334
"17","Cavaliers",1988,1567.06406
"18","Pistons",1988,1649.62762
"19","Cavaliers",1989,1630.88334
"20","Knicks",1989,1555.85915
"21","Pistons",1989,1754.22243333333
"22","Bucks",1990,1485.458325
"23","Pistons",1990,1688.60405714286
"24","Sixers",1990,1582.99194
"25","Knicks",1991,1487.7451
"26","Lakers",1991,1690.68528
"27","Pistons",1991,1552.8017
"28","Sixers",1991,1508.68174
"29","Cavaliers",1992,1665.67271666667
"30","Heat",1992,1431.26243333333
"31","Knicks",1992,1610.99704285714
"32","Trailblazers",1992,1696.60305
"33","Cavaliers",1993,1645.604675
"34","Hawks",1993,1534.26733333333
"35","Knicks",1993,1696.8418
"36","Suns",1993,1633.8804
"37","Magic",1995,1605.91546666667
"38","Pelicans",1995,1553.205025
"39","Heat",1996,1532.25866666667
"40","Knicks",1996,1569.73512
"41","Magic",1996,1659.852825
"42","Thunder",1996,1691.72356666667
"43","Hawks",1997,1632.36278
"44","Heat",1997,1639.28702
"45","Jazz",1997,1750.79596666667
"46","Wizards",1997,1564.88686666667
"47","Jazz",1998,1749.6508
"48","Nets",1998,1515.832
"49","Pacers",1998,1678.05835714286
"50","Pelicans",1998,1590.79916
"51","Cavaliers",2006,1563.88030769231
"52","Cavaliers",2007,1617.92187
"53","Cavaliers",2008,1529.89533846154
"54","Cavaliers",2009,1746.82816428571
"55","Cavaliers",2010,1699.54822727273
"56","Heat",2011,1698.29235238095
"57","Heat",2012,1660.23364782609
"58","Heat",2013,1758.50923043478
"59","Heat",2014,1618.925285
"60","Cavaliers",2015,1675.639805
"61","Pistons",2006,1651.36442857143
"62","Wizards",2006,1557.92445
"63","Nets",2007,1539.69296666667
"64","Pistons",2007,1662.99631666667
"65","Spurs",2007,1712.418425
"66","Wizards",2007,1437.78435
"67","Celtics",2008,1684.81127142857
"68","Wizards",2008,1508.15335
"69","Hawks",2009,1519.42535
"70","Magic",2009,1689.27045
"71","Pistons",2009,1477.567025
"72","Bulls",2010,1494.33778
"73","Celtics",2010,1587.6449
"74","Bulls",2011,1694.23278
"75","Celtics",2011,1636.91722
"76","Mavericks",2011,1715.49235
"77","Sixers",2011,1524.39726
"78","Celtics",2012,1635.2293
"79","Knicks",2012,1552.8199
"80","Pacers",2012,1604.60738333333
"81","Thunder",2012,1731.5987
"82","Bucks",2013,1434.34015
"83","Bulls",2013,1536.94062
"84","Pacers",2013,1599.86941428571
"85","Spurs",2013,1718.05258571429
"86","Hornets",2014,1539.042825
"87","Nets",2014,1526.7246
"88","Pacers",2014,1553.50821666667
"89","Spurs",2014,1739.45896
"90","Bulls",2015,1617.16053333333
"91","Celtics",2015,1543.3645
"92","Hawks",2015,1599.5511
"93","Warriors",2015,1803.42178333333
